"Date","Price","Open","High","Low","Vol.","Change %"
"2020-10-28","0.067","0.067","0.067","0.060","1.62M","-1.47%"
"2020-10-27","0.068","0.071","0.075","0.065","928.00K","-18.07%"
"2020-10-23","0.083","0.083","0.083","0.083","","-1.19%"
"2020-10-22","0.084","0.085","0.085","0.085","8.00K","-1.18%"
"2020-10-21","0.085","0.085","0.085","0.085","","0.00%"
"2020-10-20","0.085","0.070","0.085","0.070","32.00K","8.97%"
"2020-10-19","0.078","0.067","0.086","0.066","3.29M","-11.36%"
"2020-10-16","0.088","0.070","0.088","0.070","1.30M","14.29%"
"2020-10-15","0.077","0.065","0.074","0.065","74.00K","-1.28%"
"2020-10-14","0.078","0.078","0.078","0.078","","-1.27%"
"2020-10-12","0.079","0.078","0.079","0.078","39.00K","-5.95%"
"2020-10-9","0.084","0.081","0.090","0.081","704.10K","3.70%"
"2020-10-8","0.081","0.081","0.081","0.081","32.00K","15.71%"
"2020-10-7","0.070","0.070","0.070","0.070","","0.00%"
"2020-10-6","0.070","0.070","0.070","0.070","","0.00%"
"2020-10-5","0.070","0.070","0.070","0.070","","0.00%"
"2020-9-30","0.070","0.070","0.070","0.070","80.00K","-7.89%"
"2020-9-29","0.076","0.076","0.076","0.076","80.00K","0.00%"
"2020-9-28","0.076","0.065","0.074","0.062","1.00M","2.70%"
"2020-9-25","0.074","0.081","0.081","0.066","2.76M","-9.76%"
"2020-9-24","0.082","0.082","0.082","0.082","","0.00%"
"2020-9-23","0.082","0.082","0.082","0.082","","0.00%"
"2020-9-22","0.082","0.082","0.082","0.078","728.00K","-3.53%"
"2020-9-21","0.085","0.085","0.085","0.085","10.50K","-5.56%"
"2020-9-18","0.090","0.090","0.090","0.090","","0.00%"
"2020-9-17","0.090","0.090","0.090","0.090","","0.00%"
"2020-9-16","0.090","0.090","0.090","0.090","","0.00%"
"2020-9-15","0.090","0.084","0.090","0.084","1.38M","5.88%"
"2020-9-14","0.085","0.092","0.092","0.085","920.00K","0.00%"
"2020-9-11","0.085","0.085","0.085","0.083","184.00K","0.00%"
"2020-9-10","0.085","0.086","0.086","0.085","647.50K","0.00%"
"2020-9-9","0.085","0.088","0.089","0.085","2.24M","-3.41%"
"2020-9-8","0.088","0.087","0.088","0.087","456.00K","-1.12%"
"2020-9-7","0.089","0.107","0.108","0.086","1.62M","-1.11%"
"2020-9-4","0.090","0.092","0.092","0.088","6.78M","-1.10%"
"2020-9-3","0.091","0.106","0.110","0.090","10.41M","1.11%"
"2020-9-2","0.090","0.094","0.094","0.089","731.00K","-3.23%"
"2020-9-1","0.093","0.094","0.094","0.093","1.00M","-4.12%"
"2020-8-31","0.097","0.098","0.098","0.098","512.00K","-3.96%"
"2020-8-28","0.101","0.102","0.102","0.093","1.05M","-0.98%"
"2020-8-27","0.102","0.102","0.103","0.102","504.00K","0.99%"
"2020-8-26","0.101","0.100","0.114","0.100","2.20M","7.45%"
"2020-8-25","0.094","0.092","0.094","0.092","96.00K","2.17%"
"2020-8-24","0.092","0.092","0.092","0.092","","0.00%"
"2020-8-21","0.092","0.092","0.092","0.092","40.00K","-2.13%"
"2020-8-20","0.094","0.095","0.095","0.092","1.79M","2.17%"
"2020-8-19","0.092","0.092","0.092","0.092","","0.00%"
"2020-8-18","0.092","0.092","0.092","0.092","","0.00%"
"2020-8-17","0.092","0.092","0.092","0.092","","0.00%"
"2020-8-14","0.092","0.085","0.092","0.085","1.36M","8.24%"
"2020-8-13","0.085","0.090","0.090","0.085","6.33M","-11.46%"
"2020-8-12","0.096","0.096","0.099","0.090","213.10K","2.13%"
"2020-8-11","0.094","0.091","0.093","0.090","709.00K","-2.08%"
"2020-8-10","0.096","0.096","0.096","0.096","120.00K","3.23%"
"2020-8-7","0.093","0.093","0.093","0.093","40.00K","0.00%"
"2020-8-6","0.093","0.097","0.098","0.091","200.00K","-1.06%"
"2020-8-5","0.094","0.096","0.103","0.089","8.72M","-2.08%"
"2020-8-4","0.096","0.100","0.108","0.096","13.31M","-4.95%"
"2020-8-3","0.101","0.101","0.101","0.101","","0.00%"
"2020-7-31","0.101","0.094","0.101","0.094","408.00K","-1.94%"
"2020-7-30","0.103","0.099","0.103","0.096","802.00K","8.42%"
"2020-7-29","0.095","0.099","0.100","0.092","426.00K","-5.00%"
"2020-7-28","0.100","0.093","0.100","0.087","7.19M","-2.91%"
"2020-7-27","0.103","0.104","0.110","0.092","1.94M","-1.90%"
"2020-7-24","0.105","0.102","0.105","0.102","320.00K","5.00%"
"2020-7-23","0.100","0.109","0.109","0.099","9.29M","-5.66%"
"2020-7-22","0.106","0.114","0.114","0.106","96.00K","-10.17%"
"2020-7-21","0.118","0.120","0.122","0.110","2.82M","2.61%"
"2020-7-20","0.115","0.123","0.123","0.113","10.44M","-4.96%"
"2020-7-17","0.121","0.120","0.125","0.120","6.45M","0.83%"
"2020-7-16","0.120","0.120","0.120","0.120","912.00K","-4.76%"
"2020-7-15","0.126","0.127","0.138","0.120","25.86M","-2.33%"
"2020-7-14","0.129","0.125","0.133","0.125","30.06M","2.38%"
"2020-7-13","0.126","0.137","0.137","0.120","3.48M","0.00%"
"2020-7-10","0.126","0.124","0.130","0.120","720.00K","1.61%"
"2020-7-9","0.124","0.135","0.139","0.121","1.86M","-3.13%"
"2020-7-8","0.128","0.120","0.150","0.118","10.59M","4.92%"
"2020-7-7","0.122","0.120","0.122","0.118","16.27M","1.67%"
"2020-7-6","0.120","0.122","0.123","0.110","8.41M","-3.23%"
"2020-7-3","0.124","0.122","0.125","0.122","9.52M","2.48%"
